adc1, adc2, adc3, adc4, gx, gy, gz 
2016-04-02 16:12:00.656220,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.656464,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.657169,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.657402,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.658103,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.658334,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.659037,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.659268,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.659971,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.660206,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.660909,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.661141,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.661843,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.662071,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.662774,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.663003,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.663706,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.663937,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.664643,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.664873,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.665574,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.665804,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.666507,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.666736,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.667436,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.667667,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.668368,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.668598,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.669299,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.669530,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.670239,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.670467,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.671170,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.671398,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.672100,236, 236, 6, 6, -56, 49, 0 
2016-04-02 16:12:00.672329,236, 236, 9, 6, -56, 49, 0 
2016-04-02 16:12:00.673031,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.673260,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.673962,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.674192,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.674896,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.675125,236, 236, 9, 9, -57, 47, 0 
2016-04-02 16:12:00.675824,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.676053,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.676754,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.676985,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.677685,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.677917,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.678618,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.678846,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.679548,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.679778,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.680512,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.680744,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.681444,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.681674,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.682378,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.682606,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.683310,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.683539,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.684242,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.684471,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.685173,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.685404,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.686104,236, 236, 6, 9, -57, 47, 0 
2016-04-02 16:12:00.686335,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.687037,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.687268,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.687973,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.688202,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.688905,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.689136,236, 236, 9, 6, -57, 47, 0 
